Port_Area,Sub_Area,Species,Month,Day,Year,Date,Samples,Range,Low,High,Average,Percent_Exceeding
Fort Bragg,Fort Bragg,Dungeness,11,23,2015,2015-11-23,6,20-150,20,150,61.5,66
Fort Bragg,Fort Bragg,Dungeness,12,16,2015,2015-12-16,6,8.2-37,8.2,37,20.2,17
Fort Bragg, Pt. Arena/Manchester,Dungeness,12,27,2015,2015-12-27,6,15-39,15,39,26.8,33
Fort Bragg,Usal,Dungeness,12,30,2015,2015-12-30,6,7.8-64,7.8,64,28,33
Fort Bragg,Usal,Dungeness,1,25,2016,2016-1-25,6,13-81,13,81,45,67
Fort Bragg,Pt. Arena/Manchester,Dungeness,1,26,2016,2016-1-26,6,4.7-57,4.7,57,28.6,50
Bodega,NA,Dungeness,10,20,2015,2015-10-20,6,21-40,21,40,30,50
Bodega,NA,Dungeness,11,1,2015,2015-11-1,6,28-91,28,91,45,83
Bodega,Point Reyes,Dungeness,11,16,2015,2015-11-16,6,14-81,14,81,51,66
Bodega,Russian River,Dungeness,11,16,2015,2015-11-16,6,11-34,11,34,25.8,50
Bodega,Point Reyes,Dungeness,12,1,2015,2015-12-1,6,6-69,6,69,22,17
Bodega,Russian River,Dungeness,12,1,2015,2015-12-1,6,2.5-40,2.5,40,15,17
Bodega,Russian River,Dungeness,12,8,2015,2015-12-8,6,6.5-100,6.5,100,43.6,83
Bodega,Point Reyes,Dungeness,12,8,2015,2015-12-8,6,9.6-27,9.6,27,16.4,0
Bodega,Russian River,Dungeness,12,17,2015,2015-12-17,6,7-38,7,38,17.5,17
Bodega,Point Reyes,Dungeness,12,17,2015,2015-12-17,5,2.5-20,2.5,20,10.4,0
Bodega,Bodega Bay,Dungeness,12,17,2015,2015-12-17,6,18-120,18,120,47.7,67
Bodega,Bodega Bay,Dungeness,12,27,2015,2015-12-27,6,2.5-54,2.5,54,54,17
Bodega,Russian River,Dungeness,12,30,2015,2015-12-30,6,3.1-30,3.1,30,13.4,17
Bodega,Salt Point,Dungeness,12,30,2015,2015-12-30,6,11-29,11,29,20.8,0
Bodega,Bodega Bay,Dungeness,1,25,2016,2016-1-25,6,2.5-19,2.5,19,8,0
Bodega,Russian River,Dungeness,1,25,2016,2016-1-25,6,3.6-13,3.6,13,9,0
Bodega,Salt Point,Dungeness,1,25,2016,2016-1-25,6,2.5-34,2.5,34,19,33
SF/HMB,NA,Dungeness,10,26,2015,2015-10-26,12,16-130,16,130,56,83
SF/HMB,Half Moon Bay,Dungeness,11,16,2015,2015-11-16,6,2.5-22,2.5,22,11,0
SF/HMB,SF,Dungeness,11,16,2015,2015-11-16,6,2.5-21,2.5,21,10.7,0
SF/HMB,SF,Dungeness,12,1,2015,2015-12-1,6,2.5-19,2.5,19,8.8,0
SF/HMB,Half Moon Bay,Dungeness,12,1,2015,2015-12-1,10,2.5-39,2.5,39,8.9,10
SF/HMB,Half Moon Bay,Dungeness,12,8,2015,2015-12-8,9,2.5-49,2.5,49,20.7,33
SF/HMB,Half Moon Bay,Dungeness,12,15,2015,2015-12-15,17,2.5-130,2.5,130,33,53
SF/HMB,Half Moon Bay,Dungeness,12,27,2015,2015-12-27,6,2.5-29,2.5,29,9,0
SF/HMB,SF,Dungeness,12,27,2015,2015-12-27,6,6.2-25,6.2,25,17,0
SF/HMB, HMB North,Dungeness,1,10,2016,2016-1-10,7,6.2-54,6.2,54,20,14
SF/HMB, HMB South,Dungeness,1,15,2016,2016-1-15,6,2.5-25,2.5,25,10,0
SF/HMB,SF South,Dungeness,1,25,2016,2016-1-25,6,2.5-23,2.5,23,12,0
SF/HMB,HMB North,Dungeness,1,25,2016,2016-1-25,6,2.5-18,2.5,18,4,0
SF/HMB,HMB South,Dungeness,1,25,2016,2016-1-25,6,2.5-24,2.5,24,5,0
Monterey,Monterey,Red Rock Crab,9,16,2015,2015-9-16,4,16-86,16,86,45,75
Monterey,Monterey,Yellow Rock Crab,9,16,2015,2015-9-16,1,190 ,190,190,190,100
Monterey,Monterey,Dungeness,9,16,2015,2015-9-16,2,6.8-74 ,6.8,74,40,50
Monterey,Monterey,Dungeness,11,1,2015,2015-11-1,11,2.5-83 ,2.5,83,17,9
Monterey,Monterey,Dungeness,11,12,2015,2015-11-12,7,9.7-50 ,9.7,50,21,14
Monterey,Monterey,Rock Crab,11,12,2015,2015-11-12,6,7.9-94 ,7.9,94,41,50
Monterey,Monterey,Dungeness,11,29,2015,2015-11-29,6,3.6-11 ,3.6,11,7,0
Monterey,Monterey,Rock Crab,12,2,2015,2015-12-2,8,3.4-100 ,3.4,100,23.7,12.5
Monterey,Monterey,Dungeness,12,6,2015,2015-12-6,6,2.5-10 ,2.5,10,5,0
Monterey,Monterey,Rock Crab,12,10,2015,2015-12-10,6,2.5-100 ,2.5,100,36,50
Monterey,Monterey,Rock Crab,12,19,2015,2015-12-19,3,31-100 ,31,100,69.6,100
Monterey,Monterey,Rock Crab,1,3,2016,2016-1-3,6,2.5-47,2.5,47,13.2,17
Monterey,Monterey,Rock Crab,1,10,2016,2016-1-10,5,2.5-25,2.5,25,8.4,0
Monterey,Monterey,Dungeness,1,12,2016,2016-1-12,6,2.5-3.8,2.5,3.8,1.1,0
